Klasyfikacja roczna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klasa 1o SLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rok szkolny 2025/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Nazwisko i imiê;Zachowanie;Nazwy zajêæ edukacyjnych;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liczby ocen;;;;;;Liczby opuszcz. lekcji;;Liczba spóŸn.;Œrednia
;;;Biologia;Chemia;Edukacja dla bezpieczeñstwa;Etyka;Filozofia;Fizyka;Geografia;Historia;Jêzyk angielski;Jêzyk francuski;Jêzyk niemiecki;Jêzyk polski;Matematyka;Wychowanie fizyczne;Zajêcia z wychowawc¹;Tutorial - nauki przyrodnicze;Projektowanie graficzne SLO;Film;RzeŸba SLO;Aran¿acja wnêtrz;Edukacja zdrowotna;Fotografia SLO;Projektowanie ubioru SLO;Rysunek i malarstwo SLO;Snycerstwo;Tutorial - nauki œcis³e;Tutorial - nauki spo³eczne;Warsztaty literacko-dziennikarskie;Warsztaty muzyczne;Warsztaty teatralne;Wiza¿;6;5;4;3;2;1;usp.;nieus.;;
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2;0;-
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;4;0;-
13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;4;0;-
17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2;0;-
18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;4;0;-
19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
30;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;0;0;5
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;4;0;-
38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;-
39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2;0;-
55;TestKowalski Sebastian;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;0;0;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liczby ocen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;0;0;0;0;22;0;5
celuj¹cych;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
bardzo dobrych;;;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Liczby uczniów;;;;;;;;
dobrych;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;bez ocen niedostatecznych;;;;;;23;;
dostatecznych;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;z 1 lub 2 ocenami niedostat.;;;;;;0;;
dopuszczaj¹cych;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;z 3 i wiêcej ocenami niedostat.;;;;;;0;;
niedostatecznych;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;nieklasyfikowanych;;;;;;0;;
nieklasyfik.;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
