Klasyfikacja roczna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klasa 4o SLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rok szkolny 2025/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Nazwisko i imiê;Zachowanie;Nazwy zajêæ edukacyjnych;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liczby ocen;;;;;;Liczby opuszcz. lekcji;;Liczba spóŸn.;Œrednia
;;;etyka kl. 4;historia kl. 4;historia sztuki kl. 4;jêzyk angielski;jêzyk francuski;jêzyk niemiecki;jêzyk polski kl. 4;matematyka kl. 4;wychowanie fizyczne;biologia R kl. 4;chemia R kl. 4;filozofia R kl. 4;historia R kl. 4;jêzyk polski R kl. 4;matematyka R kl. 4;film;fotografia;grafika projektowa;kreacja muzyczna;kreacja plastyczna;stylizacja i kreacja;teatr;techniki rzeŸbiarkie;twórcze pisanie;fakultet historia sztuki;fakultet j. angielski;fakultet j. polski;fakultet matematyka;6;5;4;3;2;1;usp.;nieus.;;
3;Brzozowska Anna;wzorowe;zal;5;5;5;4;;4;4;5;5;5;;;;;;6;;;;;;;;;;;;1;6;3;0;0;0;28;2;7;4,80
7;D¹browski Marcel;dobre;zal;3;;4;;;4;3;4;;;4;;;3;;;6;;;;;;;;;;zal;1;0;4;3;0;0;64;14;23;3,88
11;Kwiatkowska Zofia;wzorowe;zal;5;5;5;;5;5;4;6;;;;5;6;;;;;;;;6;;;;;;;3;6;1;0;0;0;9;0;1;5,20
14;Lis Bartosz;dobre;zal;4;;4;;;3;3;5;;;;4;;;5;;;;;;5;;;;;;;0;3;3;2;0;0;47;19;26;4,12
19;Nowicka Helena;bardzo dobre;zal;4;;5;4;;5;4;5;;;;;5;4;;;;6;;;;;;zal;;;;1;4;4;0;0;0;17;3;6;4,67
24;Wróbel Ignacy;poprawne;zal;3;;3;;;2;2;4;3;;;;;;;;;;;;;5;;;;zal;;0;1;1;3;2;0;73;41;35;3,14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liczby ocen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;20;16;8;2;0;;;;
celuj¹cych;;;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;;;;;;;;;;
bardzo dobrych;;;0;2;2;3;0;1;2;0;3;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;;Liczby uczniów;;;;;;;;
dobrych;;;0;2;0;2;2;0;2;3;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;bez ocen niedostatecznych;;;;;;6;;
dostatecznych;;;0;2;0;1;0;0;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;z 1 lub 2 ocenami niedostat.;;;;;;0;;
dopuszczaj¹cych;;;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;z 3 i wiêcej ocenami niedostat.;;;;;;0;;
niedostatecznych;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;nieklasyfikowanych;;;;;;0;;
nieklasyfik.;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
