ZREALIZOWANY MATERIAŁ PROGRAMOWY;;;kierunek: fotografia;;;;;;;
Uczeń: Brzozowska Anna   |   Klasa: 4o   |   Rok szkolny: 2025/2026;;;;;;;;;;
;;;;;;;;;;
SLO (4-letnie);;Przedmiot nauczania;Zrealizowane moduły (ocena słownie);;;;;;;
;;;I;II;III;IV;V;VI;VII;VIII
zajęcia objęte szkolnym planem nauki (poziom podstawowy);;język polski;;;;;;;db;db
;język angielski/niemiecki;język angielski;;;;;;;bdb;bdb
;;matematyka;;;;;;;dst;db
;;wychowanie fizyczne;;;;;;;bdb;bdb
;;religia/etyka;;;;;;;zal;zal
;kierunkowe zajęcia artyst./akad.;fotografia;;;;;;;cel;cel
zajęcia objęte zindywidualizowanym planem nauki;zajęcia ogólnokształcące;język francuski;;;;;;;db;db
;;filozofia;;;;;;;;
;;historia;;;;;;;db;bdb
;;edukacja obywatelska;;;;;;;;
;;biznes i zarządzanie;;;;;;;;
;;geografia;;;;;;;;
;;biologia;;;;;;;;
;;chemia;;;;;;;;
;;fizyka;;;;;;;;
;;informatyka;;;;;;;;
;;edukacja dla bezpieczeństwa;;;;;;;;
;I zaj. rozszerzone;biologia R;;;;;;;bdb;bdb
;II zaj. rozszerzone;chemia R;;;;;;;db;bdb
;zaj. alternatywne;historia sztuki;;;;;;;bdb;bdb
;doradztwo zawodowe;;;;;;;;;
;;;;;;;;;;
UWAGI — pozycje wymagające sprawdzenia;;;;;;;;;;
▸ 2026-08-22 09:00 — plik: Klasyfikacja_roczna_4o_SLO.csv, moduł VIII (klasyfikacja roczna)
    • Przedmiot „język francuski” ma ocenę w module VIII, a formularz przewiduje dla tego wiersza moduły I, II, III, IV, V, VI, VII. Ocena została wpisana — sprawdź, czy trafiła we właściwy wiersz.
    • Przedmiot „historia sztuki kl. 4” ma ocenę w module VIII, a formularz przewiduje dla tego wiersza moduły III, IV, V, VI, VII. Ocena została wpisana — sprawdź, czy trafiła we właściwy wiersz.
▸ 2026-08-22 09:00 — plik: Klasyfikacja_srodroczna_4o_SLO.csv, moduł VII (klasyfikacja śródroczna)
    • brak uwag — wszystkie oceny z pliku trafiły do tabeli
