ZREALIZOWANY MATERIAŁ PROGRAMOWY;;kierunek: grafika projektowa;;;;;;;
SLO (4-letnie);;Uczeń: Dąbrowski Marcel   |   Klasa: 4o   |   Rok szkolny: 2025/2026;;;;;;;
;;;;;;;;;
Przedmiot nauczania;;Zrealizowane moduły (ocena słownie);;;;;;;
;;I;II;III;IV;V;VI;VII;VIII
zajęcia objęte szkolnym planem nauki (poziom podstawowy);;;;;;;;;
;język polski;;;;;;;dst;db
język angielski/niemiecki;język angielski;;;;;;;db;db
;matematyka;;;;;;;dop;dst
;wychowanie fizyczne;;;;;;;db;db
;religia/etyka;;;;;;;zal;zal
kierunkowe zajęcia artyst./akad.;grafika projektowa;;;;;;;bdb;cel
zajęcia objęte zindywidualizowanym planem nauki — zajęcia ogólnokształcące;;;;;;;;;
język angielski/niemiecki/francuski;;;;;;;;;
;filozofia;;;;;;;;
;historia;;;;;;;dst;dst
;edukacja obywatelska;;;;;;;;
;biznes i zarządzanie;;;;;;;;
;geografia;;;;;;;;
;biologia;;;;;;;;
;chemia;;;;;;;;
;fizyka;;;;;;;;
;informatyka;;;;;;;;
;edukacja dla bezpieczeństwa;;;;;;;;
I zaj. rozszerzone;filozofia R;;;;;;;db;db
II zaj. rozszerzone;matematyka R;;;;;;;dst;dst
zaj. alternatywne;fakultet matematyka;;;;;;;zal;zal
doradztwo zawodowe;;;;;;;;;
;;;;;;;;;
UWAGI — pozycje wymagające sprawdzenia;;;;;;;;;
▸ 2026-08-22 09:00 — plik: Klasyfikacja_roczna_4o_SLO.csv, moduł VIII (klasyfikacja roczna)
    • brak uwag — wszystkie oceny z pliku trafiły do tabeli
▸ 2026-08-22 09:00 — plik: Klasyfikacja_srodroczna_4o_SLO.csv, moduł VII (klasyfikacja śródroczna)
    • brak uwag — wszystkie oceny z pliku trafiły do tabeli
