ZREALIZOWANY MATERIAŁ PROGRAMOWY;;;kierunek: teatr;;;;;;;
Uczeń: Kwiatkowska Zofia   |   Klasa: 4o   |   Rok szkolny: 2025/2026;;;;;;;;;;
;;;;;;;;;;
SLO (4-letnie);;Przedmiot nauczania;Zrealizowane moduły (ocena słownie);;;;;;;
;;;I;II;III;IV;V;VI;VII;VIII
zajęcia objęte szkolnym planem nauki (poziom podstawowy);;język polski;;;;;;;bdb;bdb
;język angielski/niemiecki;język angielski;;;;;;;bdb;bdb
;;matematyka;;;;;;;db;db
;;wychowanie fizyczne;;;;;;;bdb;cel
;;religia/etyka;;;;;;;zal;zal
;kierunkowe zajęcia artyst./akad.;teatr;;;;;;;cel;cel
zajęcia objęte zindywidualizowanym planem nauki;zajęcia ogólnokształcące;język niemiecki;;;;;;;db;bdb
;;filozofia;;;;;;;;
;;historia;;;;;;;bdb;bdb
;;edukacja obywatelska;;;;;;;;
;;biznes i zarządzanie;;;;;;;;
;;geografia;;;;;;;;
;;biologia;;;;;;;;
;;chemia;;;;;;;;
;;fizyka;;;;;;;;
;;informatyka;;;;;;;;
;;edukacja dla bezpieczeństwa;;;;;;;;
;I zaj. rozszerzone;historia R;;;;;;;bdb;bdb
;II zaj. rozszerzone;język polski R;;;;;;;bdb;cel
;zaj. alternatywne;historia sztuki;;;;;;;db;bdb
;doradztwo zawodowe;;;;;;;;;
;;;;;;;;;;
UWAGI — pozycje wymagające sprawdzenia;;;;;;;;;;
▸ 2026-08-22 09:00 — plik: Klasyfikacja_roczna_4o_SLO.csv, moduł VIII (klasyfikacja roczna)
"    • Uczeń ma oceny z więcej niż jednego języka podstawowego (język angielski, język niemiecki). Do wiersza podstawowego wpisano ""język angielski"" (pierwszy alfabetycznie), pozostałe trafiły do zajęć zindywidualizowanych — sprawdź."
    • Przedmiot „język niemiecki” ma ocenę w module VIII, a formularz przewiduje dla tego wiersza moduły I, II, III, IV, V, VI, VII. Ocena została wpisana — sprawdź, czy trafiła we właściwy wiersz.
    • Przedmiot „historia sztuki kl. 4” ma ocenę w module VIII, a formularz przewiduje dla tego wiersza moduły III, IV, V, VI, VII. Ocena została wpisana — sprawdź, czy trafiła we właściwy wiersz.
▸ 2026-08-22 09:00 — plik: Klasyfikacja_srodroczna_4o_SLO.csv, moduł VII (klasyfikacja śródroczna)
"    • Uczeń ma oceny z więcej niż jednego języka podstawowego (język angielski, język niemiecki). Do wiersza podstawowego wpisano ""język angielski"" (pierwszy alfabetycznie), pozostałe trafiły do zajęć zindywidualizowanych — sprawdź."
