ZREALIZOWANY MATERIAŁ PROGRAMOWY;;kierunek: kreacja muzyczna;;;;;;;
SLO (4-letnie);;Uczeń: Nowicka Helena   |   Klasa: 4o   |   Rok szkolny: 2025/2026;;;;;;;
;;;;;;;;;
Przedmiot nauczania;;Zrealizowane moduły (ocena słownie);;;;;;;
;;I;II;III;IV;V;VI;VII;VIII
zajęcia objęte szkolnym planem nauki (poziom podstawowy);;;;;;;;;
;język polski;;;;;;;bdb;bdb
język angielski/niemiecki;język angielski;;;;;;;db;bdb
;matematyka;;;;;;;db;db
;wychowanie fizyczne;;;;;;;bdb;bdb
;religia/etyka;;;;;;;zal;zal
kierunkowe zajęcia artyst./akad.;kreacja muzyczna;;;;;;;cel;cel
zajęcia objęte zindywidualizowanym planem nauki — zajęcia ogólnokształcące;;;;;;;;;
język angielski/niemiecki/francuski;język francuski;;;;;;;dst;db
;filozofia;;;;;;;;
;historia;;;;;;;db;db
;edukacja obywatelska;;;;;;;;
;biznes i zarządzanie;;;;;;;;
;geografia;;;;;;;;
;biologia;;;;;;;;
;chemia;;;;;;;;
;fizyka;;;;;;;;
;informatyka;;;;;;;;
;edukacja dla bezpieczeństwa;;;;;;;;
I zaj. rozszerzone;język polski R;;;;;;;bdb;bdb
II zaj. rozszerzone;matematyka R;;;;;;;db;db
zaj. alternatywne;fakultet historia sztuki;;;;;;;zal;zal
doradztwo zawodowe;;;;;;;;;
;;;;;;;;;
UWAGI — pozycje wymagające sprawdzenia;;;;;;;;;
▸ 2026-08-22 09:00 — plik: Klasyfikacja_roczna_4o_SLO.csv, moduł VIII (klasyfikacja roczna)
    • brak uwag — wszystkie oceny z pliku trafiły do tabeli
▸ 2026-08-22 09:00 — plik: Klasyfikacja_srodroczna_4o_SLO.csv, moduł VII (klasyfikacja śródroczna)
    • brak uwag — wszystkie oceny z pliku trafiły do tabeli
