ZREALIZOWANY MATERIAŁ PROGRAMOWY;;;kierunek: techniki rzeźbiarskie;;;;;;;
Uczeń: Wróbel Ignacy   |   Klasa: 4o   |   Rok szkolny: 2025/2026;;;;;;;;;;
;;;;;;;;;;
SLO (4-letnie);;Przedmiot nauczania;Zrealizowane moduły (ocena słownie);;;;;;;
;;;I;II;III;IV;V;VI;VII;VIII
zajęcia objęte szkolnym planem nauki (poziom podstawowy);;język polski;;;;;;;dop;dop
;język angielski/niemiecki;język angielski;;;;;;;dst;dst
;;matematyka;;;;;;;ndst;dop
;;wychowanie fizyczne;;;;;;;dst;db
;;religia/etyka;;;;;;;zal;zal
;kierunkowe zajęcia artyst./akad.;techniki rzeźbiarkie;;;;;;;bdb;bdb
zajęcia objęte zindywidualizowanym planem nauki;zajęcia ogólnokształcące;;;;;;;;;
;;filozofia;;;;;;;;
;;historia;;;;;;;dop;dst
;;edukacja obywatelska;;;;;;;;
;;biznes i zarządzanie;;;;;;;;
;;geografia;;;;;;;;
;;biologia;;;;;;;;
;;chemia;;;;;;;;
;;fizyka;;;;;;;;
;;informatyka;;;;;;;;
;;edukacja dla bezpieczeństwa;;;;;;;;
;I zaj. rozszerzone;biologia R;;;;;;;dop;dst
;II zaj. rozszerzone;;;;;;;;;
;zaj. alternatywne;fakultet j. polski;;;;;;;zal;zal
;doradztwo zawodowe;;;;;;;;;
;;;;;;;;;;
UWAGI — pozycje wymagające sprawdzenia;;;;;;;;;;
▸ 2026-08-22 09:00 — plik: Klasyfikacja_roczna_4o_SLO.csv, moduł VIII (klasyfikacja roczna)
    • Przedmiot „fakultet j. polski” ma ocenę w module VIII, a formularz przewiduje dla tego wiersza moduły III, IV, V, VI, VII. Ocena została wpisana — sprawdź, czy trafiła we właściwy wiersz.
▸ 2026-08-22 09:00 — plik: Klasyfikacja_srodroczna_4o_SLO.csv, moduł VII (klasyfikacja śródroczna)
    • brak uwag — wszystkie oceny z pliku trafiły do tabeli
